zone_origin;zone_destination;type;value
benelux;france;ac;3800
benelux;germany;hdac;8000
benelux;scandinavia;hvdc;3000
france;benelux;ac;8300
france;germany;ac;8000
france;italy;hvac;5138
france;iberian-peninsula;hvac;7000
germany;poland;ac;6040
germany;scandinavia;hvac;7500
germany;scandinavia;hvdc;7300
poland;scandinavia;hvac;6000
